mode,condition,condition_alias,condition_display,train_seed,checkpoint_episode,f_value,coop_rate,avg_welfare
public_random,cond1,comm_symm,Comm-On (Symmetric Uncertainty),505,150000,3.500,0.5224143583019177,36.89657433207671
public_random,cond1,comm_symm,Comm-On (Symmetric Uncertainty),505,150000,5.000,0.6278701165181632,56.18368745716244
public_random,cond1,comm_symm,Comm-On (Symmetric Uncertainty),505,50000,3.500,0.40685953122438945,32.27438124897558
public_random,cond1,comm_symm,Comm-On (Symmetric Uncertainty),505,50000,5.000,0.7081477039067855,61.32145305003427
public_random,cond1,comm_symm,Comm-On (Symmetric Uncertainty),606,150000,3.500,0.7322979839370595,45.29191935748238
public_random,cond1,comm_symm,Comm-On (Symmetric Uncertainty),606,150000,5.000,0.8676319396847155,71.5284441398218
public_random,cond1,comm_symm,Comm-On (Symmetric Uncertainty),606,50000,3.500,0.5011473528929684,36.04589411571873
public_random,cond1,comm_symm,Comm-On (Symmetric Uncertainty),606,50000,5.000,0.5177775873886223,49.13776559287183
public_random,cond1,comm_symm,Comm-On (Symmetric Uncertainty),707,150000,3.500,0.026307162760203246,17.05228651040813
public_random,cond1,comm_symm,Comm-On (Symmetric Uncertainty),707,150000,5.000,0.17233550376970527,27.02947224126114
public_random,cond1,comm_symm,Comm-On (Symmetric Uncertainty),707,50000,3.500,0.21398131453860023,24.55925258154401
public_random,cond1,comm_symm,Comm-On (Symmetric Uncertainty),707,50000,5.000,0.544165524331734,50.82659355723098
public_random,cond1,comm_symm,Comm-On (Symmetric Uncertainty),808,150000,3.500,0.09695131945582691,19.878052778233076
public_random,cond1,comm_symm,Comm-On (Symmetric Uncertainty),808,150000,5.000,0.5834475668265936,53.34064427690199
public_random,cond1,comm_symm,Comm-On (Symmetric Uncertainty),808,50000,3.500,0.3400262252089821,29.601049008359286
public_random,cond1,comm_symm,Comm-On (Symmetric Uncertainty),808,50000,5.000,0.7237405757368061,62.31939684715559
public_random,cond1,comm_symm,Comm-On (Symmetric Uncertainty),909,150000,3.500,0.5203245369611539,36.812981478446154
public_random,cond1,comm_symm,Comm-On (Symmetric Uncertainty),909,150000,5.000,0.9243917066483893,75.16106922549692
public_random,cond1,comm_symm,Comm-On (Symmetric Uncertainty),909,50000,3.500,0.2577036551385019,26.308146205540076
public_random,cond1,comm_symm,Comm-On (Symmetric Uncertainty),909,50000,5.000,0.618617203564085,55.59150102810144
uniform,cond1,comm_symm,Comm-On (Symmetric Uncertainty),101,150000,3.500,0.7921135646687697,47.68454258675079
uniform,cond1,comm_symm,Comm-On (Symmetric Uncertainty),101,150000,5.000,0.9941670955566992,79.62669411562875
uniform,cond1,comm_symm,Comm-On (Symmetric Uncertainty),101,50000,3.500,0.42456624605678234,32.98264984227129
uniform,cond1,comm_symm,Comm-On (Symmetric Uncertainty),101,50000,5.000,0.6277663407102418,56.17704580545548
uniform,cond1,comm_symm,Comm-On (Symmetric Uncertainty),1111,150000,3.500,0.8305205047318612,49.22082018927445
uniform,cond1,comm_symm,Comm-On (Symmetric Uncertainty),1111,150000,5.000,0.9583547778349631,77.33470578143763
uniform,cond1,comm_symm,Comm-On (Symmetric Uncertainty),1111,50000,3.500,0.40654574132492116,32.261829652996845
uniform,cond1,comm_symm,Comm-On (Symmetric Uncertainty),1111,50000,5.000,0.6411477097272259,57.03345342254246
uniform,cond1,comm_symm,Comm-On (Symmetric Uncertainty),1212,150000,3.500,0.7879337539432176,47.51735015772871
uniform,cond1,comm_symm,Comm-On (Symmetric Uncertainty),1212,150000,5.000,0.9393549493909762,76.11871676102247
uniform,cond1,comm_symm,Comm-On (Symmetric Uncertainty),1212,50000,3.500,0.3908123028391167,31.63249211356467
uniform,cond1,comm_symm,Comm-On (Symmetric Uncertainty),1212,50000,5.000,0.5729113055412592,52.66632355464059
uniform,cond1,comm_symm,Comm-On (Symmetric Uncertainty),1313,150000,3.500,0.8167586750788643,48.670347003154575
uniform,cond1,comm_symm,Comm-On (Symmetric Uncertainty),1313,150000,5.000,0.9537656544861898,77.04100188711614
uniform,cond1,comm_symm,Comm-On (Symmetric Uncertainty),1313,50000,3.500,0.5286277602523659,37.14511041009464
uniform,cond1,comm_symm,Comm-On (Symmetric Uncertainty),1313,50000,5.000,0.7035512094698919,61.02727740607308
uniform,cond1,comm_symm,Comm-On (Symmetric Uncertainty),1414,150000,3.500,0.7476340694006309,45.905362776025235
uniform,cond1,comm_symm,Comm-On (Symmetric Uncertainty),1414,150000,5.000,0.7897581060216161,66.54451878538343
uniform,cond1,comm_symm,Comm-On (Symmetric Uncertainty),1414,50000,3.500,0.41336750788643534,32.534700315457414
uniform,cond1,comm_symm,Comm-On (Symmetric Uncertainty),1414,50000,5.000,0.5943129181677818,54.03602676273803
uniform,cond1,comm_symm,Comm-On (Symmetric Uncertainty),1515,150000,3.500,0.8667981072555205,50.67192429022082
uniform,cond1,comm_symm,Comm-On (Symmetric Uncertainty),1515,150000,5.000,0.8626694115628752,71.21084234002402
uniform,cond1,comm_symm,Comm-On (Symmetric Uncertainty),1515,50000,3.500,0.5312697160883281,37.25078864353312
uniform,cond1,comm_symm,Comm-On (Symmetric Uncertainty),1515,50000,5.000,0.7810516383599245,65.98730485503516
uniform,cond1,comm_symm,Comm-On (Symmetric Uncertainty),1616,150000,3.500,0.9537854889589905,54.15141955835962
uniform,cond1,comm_symm,Comm-On (Symmetric Uncertainty),1616,150000,5.000,0.9997855549837021,79.98627551895694
uniform,cond1,comm_symm,Comm-On (Symmetric Uncertainty),1616,50000,3.500,0.6307965299684543,41.23186119873817
uniform,cond1,comm_symm,Comm-On (Symmetric Uncertainty),1616,50000,5.000,0.7539886773031395,64.25527534740093
uniform,cond1,comm_symm,Comm-On (Symmetric Uncertainty),202,150000,3.500,0.5402602523659306,37.610410094637224
uniform,cond1,comm_symm,Comm-On (Symmetric Uncertainty),202,150000,5.000,0.8923486018184937,73.1103105163836
uniform,cond1,comm_symm,Comm-On (Symmetric Uncertainty),202,50000,3.500,0.3998422712933754,31.993690851735014
uniform,cond1,comm_symm,Comm-On (Symmetric Uncertainty),202,50000,5.000,0.6498541773889175,57.59066735289072
uniform,cond1,comm_symm,Comm-On (Symmetric Uncertainty),303,150000,3.500,0.8603706624605678,50.41482649842271
uniform,cond1,comm_symm,Comm-On (Symmetric Uncertainty),303,150000,5.000,0.9635014582261108,77.66409332647109
uniform,cond1,comm_symm,Comm-On (Symmetric Uncertainty),303,50000,3.500,0.53698738170347,37.4794952681388
uniform,cond1,comm_symm,Comm-On (Symmetric Uncertainty),303,50000,5.000,0.7846114256304684,66.21513124034998
uniform,cond1,comm_symm,Comm-On (Symmetric Uncertainty),404,150000,3.500,0.7490141955835962,45.96056782334385
uniform,cond1,comm_symm,Comm-On (Symmetric Uncertainty),404,150000,5.000,0.9845599588265569,79.01183736489963
uniform,cond1,comm_symm,Comm-On (Symmetric Uncertainty),404,50000,3.500,0.522634069400631,36.905362776025235
uniform,cond1,comm_symm,Comm-On (Symmetric Uncertainty),404,50000,5.000,0.8370646766169154,69.57213930348259
uniform,cond1,comm_symm,Comm-On (Symmetric Uncertainty),505,150000,3.500,0.8570977917981073,50.28391167192429
uniform,cond1,comm_symm,Comm-On (Symmetric Uncertainty),505,150000,5.000,0.9516640933264711,76.90650197289415
uniform,cond1,comm_symm,Comm-On (Symmetric Uncertainty),505,50000,3.500,0.3555993690851735,30.22397476340694
uniform,cond1,comm_symm,Comm-On (Symmetric Uncertainty),505,50000,5.000,0.6328272430948705,56.50094355807171
uniform,cond1,comm_symm,Comm-On (Symmetric Uncertainty),606,150000,3.500,0.07503943217665615,19.001577287066247
uniform,cond1,comm_symm,Comm-On (Symmetric Uncertainty),606,150000,5.000,0.628452564762395,56.22096414479328
uniform,cond1,comm_symm,Comm-On (Symmetric Uncertainty),606,50000,3.500,0.37468454258675077,30.98738170347003
uniform,cond1,comm_symm,Comm-On (Symmetric Uncertainty),606,50000,5.000,0.6839938239835306,59.77560473494596
uniform,cond1,comm_symm,Comm-On (Symmetric Uncertainty),707,150000,3.500,0.8118690851735015,48.47476340694006
uniform,cond1,comm_symm,Comm-On (Symmetric Uncertainty),707,150000,5.000,0.9412420655343969,76.2394921942014
uniform,cond1,comm_symm,Comm-On (Symmetric Uncertainty),707,50000,3.500,0.3588328075709779,30.353312302839118
uniform,cond1,comm_symm,Comm-On (Symmetric Uncertainty),707,50000,5.000,0.5334105335392005,50.138274146508834
uniform,cond1,comm_symm,Comm-On (Symmetric Uncertainty),808,150000,3.500,0.9146293375394322,52.58517350157729
